Date,Open,High,Low,Close,Adj Close,Volume
2023-01-11,3.850000,3.900000,3.800000,3.850000,3.850000,3510122
2023-01-12,3.850000,3.950000,3.800000,3.850000,3.850000,5170164
2023-01-13,3.850000,4.000000,3.800000,3.950000,3.950000,7554446
2023-01-16,3.950000,4.050000,3.900000,4.000000,4.000000,11849132
2023-01-17,4.050000,4.050000,3.900000,3.950000,3.950000,4426540
2023-01-18,3.950000,4.000000,3.850000,3.900000,3.900000,4675488
2023-01-19,3.850000,3.950000,3.850000,3.900000,3.900000,5105453
2023-01-20,3.950000,4.000000,3.850000,3.950000,3.950000,6073207
2023-01-23,3.950000,4.000000,3.800000,3.850000,3.850000,5250969
2023-01-24,3.800000,3.900000,3.800000,3.850000,3.850000,5198681
2023-01-25,3.850000,3.850000,3.650000,3.750000,3.750000,8029233
2023-01-27,3.750000,3.800000,3.600000,3.650000,3.650000,9620644
2023-01-30,3.700000,3.800000,3.600000,3.650000,3.650000,5568367
2023-01-31,3.700000,3.800000,3.650000,3.800000,3.800000,4697554
2023-02-01,3.900000,3.950000,3.700000,3.750000,3.750000,9327844
2023-02-02,3.700000,3.800000,3.650000,3.700000,3.700000,4984937
2023-02-03,3.700000,3.750000,3.600000,3.650000,3.650000,6577279
2023-02-06,3.700000,3.700000,3.600000,3.650000,3.650000,3099708
2023-02-07,3.700000,3.750000,3.650000,3.650000,3.650000,5538704
2023-02-08,3.650000,3.700000,3.600000,3.650000,3.650000,4510542
2023-02-09,3.650000,3.700000,3.600000,3.650000,3.650000,3377902
2023-02-10,3.650000,3.700000,3.600000,3.650000,3.650000,2080840
2023-02-13,3.700000,3.700000,3.550000,3.600000,3.600000,3036676
2023-02-14,3.600000,3.650000,3.450000,3.500000,3.500000,6016554
2023-02-15,3.500000,3.550000,3.450000,3.550000,3.550000,3731275
2023-02-16,3.550000,3.600000,3.450000,3.500000,3.500000,5317360
2023-02-17,3.500000,3.550000,3.450000,3.500000,3.500000,2874911
